Wall time,Step,Value
1670265794.9763958,486,1.9465293884277344
1670265826.7798514,1135,1.560207724571228
1670265830.3337023,1216,1.5550397634506226
1670265843.3695657,1513,1.4571781158447266
1670265861.2316434,1918,1.3342026472091675
1670265867.2981076,2000,1.1981744766235352
1670265891.0702527,2540,1.1842042207717896
1670265968.8832135,4189,0.8406434655189514
1670265972.491256,4270,0.8260073065757751
1670265983.2869692,4513,0.8009296655654907
1670266061.8526902,6189,0.6399347186088562
1670266067.8610766,6324,0.6722632646560669
1670266093.0635858,6891,0.6456920504570007
1670266101.801113,7027,0.6498852968215942
1670266110.1585045,7216,0.6446211934089661
1670266117.3532658,7378,0.6233164072036743
1670266161.9900818,8324,0.639195442199707
1670266164.384162,8378,0.6053298115730286
1670266173.9801822,8594,0.623316764831543
1670266211.2209387,9378,0.5962429642677307
1670266235.2100365,9918,0.5729498863220215
1670266304.355834,11378,0.5553420782089233
1670266305.554635,11405,0.559022843837738
1670266329.5433865,11945,0.5426674485206604
1670266353.2584865,12432,0.5263148546218872
1670266358.0325778,12540,0.5199177265167236
1670266370.000338,12810,0.5385157465934753
1670266448.7640219,14486,0.5038579702377319
1670266483.3151186,15216,0.5411500334739685
1670266502.478306,15648,0.5506042242050171
1670266510.8754785,15837,0.5569747090339661
1670266512.0760455,15864,0.5268088579177856
1670266554.1836073,16756,0.5476629137992859
1670266573.1042247,17135,0.5155370831489563
1670266582.6988714,17351,0.5147227644920349
1670266588.7334914,17486,0.47916534543037415
1670266591.1431744,17540,0.4822099208831787
1670266605.5362873,17864,0.4972664713859558
1670266620.0215201,18135,0.4840569794178009
1670266674.23557,19297,0.4922972023487091
1670266683.8269782,19513,0.522316575050354
1670266693.4063814,19729,0.4987763464450836
1670266727.1903505,20432,0.4828118681907654
1670266737.982822,20675,0.5017839074134827
1670266742.786605,20783,0.4983788728713989
1670266745.1805274,20837,0.5118827223777771
1670266765.176425,21216,0.5044782161712646
1670266767.576928,21270,0.5048480033874512
1670266775.9658968,21459,0.5029248595237732
1670266785.5855393,21675,0.49713754653930664
1670266792.7869773,21837,0.526531994342804
1670266828.5517378,22594,0.49328023195266724
1670266920.591654,24567,0.5270339250564575
1670266962.686287,25459,0.48456913232803345
1670266966.284402,25540,0.46080857515335083
1670266988.4815528,26000,0.46711820363998413
1670266999.3157191,26243,0.4761430621147156
1670267000.5122774,26270,0.45241835713386536
1670267007.7190304,26432,0.4610428214073181
1670267008.9232671,26459,0.49293166399002075
1670267014.9135745,26594,0.4629082679748535
1670267038.3936734,27081,0.4692852795124054
1670267041.98413,27162,0.5090142488479614
1670267052.7730284,27405,0.476308137178421
1670267113.5464556,28729,0.4791889786720276
1670267117.144177,28810,0.4757533073425293
1670267124.3304179,28972,0.49007663130760193
1670267133.2409737,29135,0.4641784727573395
1670267139.229447,29270,0.45413100719451904
1670267151.216406,29540,0.4436952471733093
1670267158.409217,29702,0.4843539595603943
1670267164.4045913,29837,0.5034425854682922
1670267231.287017,31243,0.47885099053382874
1670267237.2810209,31378,0.4718499183654785
1670267238.4841561,31405,0.4548308253288269
1670267260.0633385,31891,0.4566408395767212
1670267278.169894,32243,0.46269553899765015
1670267293.7523544,32594,0.4914175570011139
1670267341.383428,33621,0.48771944642066956
1670267364.3674219,34081,0.45942139625549316
1670267388.3617413,34621,0.47619420289993286
1670267403.9449382,34972,0.46680325269699097
1670267432.551788,35567,0.46663397550582886
1670267436.1490004,35648,0.46961915493011475
1670267454.5777972,36027,0.47183749079704285
1670267459.376428,36135,0.4621763825416565
1670267519.0929847,37432,0.43714639544487
1670267527.49764,37621,0.4701412618160248
1670267555.8937743,38216,0.4502052068710327
1670267570.2666452,38540,0.4243437945842743
1670267582.2590022,38810,0.4441925883293152
1670267620.7655113,39621,0.47622576355934143
1670267633.9757388,39918,0.4544251263141632
1670267645.7326813,40135,0.41619184613227844
1670267652.9371681,40297,0.4666469991207123
1670267694.8345878,41162,0.4674088656902313
1670267699.6250808,41270,0.41656771302223206
1670267729.6062562,41945,0.4533641040325165
1670267750.4705477,42378,0.4465789794921875
1670267751.6692328,42405,0.4544900059700012
1670267769.686897,42810,0.4329749047756195
1670267774.48504,42918,0.44006648659706116
